Fechas,Llamadas
2020-08-04,22959.211772823845
2020-08-05,22548.509635439143
2020-08-06,21873.715521575723
2020-08-07,21619.920003918323
2020-08-08,18396.70641417982
2020-08-09,13823.74766876941
2020-08-10,21783.306016948394
2020-08-11,22602.00890306136
2020-08-12,22236.56203858549
2020-08-13,21889.95795844497
2020-08-14,22108.43713373217
2020-08-15,19274.93640849354
2020-08-16,14853.455701523279
2020-08-17,22744.291853862596
2020-08-18,23423.003117030894
2020-08-19,22978.950301661127
2020-08-20,22614.173061825022
2020-08-21,22755.88182324427
2020-08-22,19676.462081559057
2020-08-23,14853.00319468815
2020-08-24,22320.518325200836
2020-08-25,22700.242214376536
2020-08-26,22128.154521835717
2020-08-27,21746.06950926916
2020-08-28,21905.543594619376
2020-08-29,18878.470618644587
2020-08-30,14211.390408537172
2020-08-31,21982.6109021933
2020-09-01,22743.048775916242
2020-09-02,22460.604196570202
2020-09-03,22125.169452674167
2020-09-04,22062.54193336363
2020-09-05,18650.95457894405
2020-09-06,13576.199649875984
2020-09-07,20982.832873516527
2020-09-08,21402.93222160022
2020-09-09,20785.62139495703
2020-09-10,20187.488056200775
2020-09-11,20072.12914174839
2020-09-12,16912.230148506314
2020-09-13,12335.710283680815
2020-09-14,20285.283279959036
2020-09-15,21080.53620667002
2020-09-16,20595.419848665297
2020-09-17,19982.369162732935
2020-09-18,19863.572333215456
2020-09-19,16782.83364846861
2020-09-20,12294.788415290128
2020-09-21,20206.659176178513
2020-09-22,20778.656930368335
2020-09-23,19965.39144479199
2020-09-24,19074.521585277747
2020-09-25,18831.519591470533
2020-09-26,15765.209963524238
2020-09-27,11346.907566370068
2020-09-28,19338.305769882794
2020-09-29,20041.529669781656
2020-09-30,19481.816198470467
2020-10-01,18959.375115333587
2020-10-02,19071.3957024781
2020-10-03,16170.660475156072
2020-10-04,11632.151151837541
2020-10-05,19266.646815389548
2020-10-06,19516.601046354706
2020-10-07,18520.88497639481
2020-10-08,17599.57933502684
2020-10-09,17319.693200616606
2020-10-10,14054.27172212091
2020-10-11,9292.361068334894
2020-10-12,16980.20276216095
2020-10-13,17588.660679491233
2020-10-14,17118.288526387732
2020-10-15,16662.566357735715
2020-10-16,16632.375916158566
2020-10-17,13417.841292945868
2020-10-18,8655.493733826555
2020-10-19,16422.317621110175
2020-10-20,17185.880741395966
2020-10-21,16824.979403902562
2020-10-22,16319.487944129463
2020-10-23,16090.062309230037
2020-10-24,12658.04048102524
2020-10-25,7802.020014304899
2020-10-26,15641.969526231605
2020-10-27,16581.657515128583
2020-10-28,16420.79798114041
2020-10-29,16135.573366738468
2020-10-30,16213.195873274244
2020-10-31,13215.781506391846
2020-11-01,8849.533515394449
2020-11-02,17064.758269170878
2020-11-03,18112.254476265734
2020-11-04,17765.492996831257
2020-11-05,17107.09018112032
2020-11-06,16764.18553000063
2020-11-07,13366.384650832817
2020-11-08,8602.833666440833
2020-11-09,16407.34311960106
2020-11-10,17100.133456516938
2020-11-11,16595.582415761553
2020-11-12,16074.172551870852
2020-11-13,16108.807508102722
2020-11-14,13131.022756796745
2020-11-15,8621.287217360734
2020-11-16,16441.99957661598
2020-11-17,17012.842213205593
2020-11-18,16410.16159287767
2020-11-19,15888.613971375384
2020-11-20,15950.473523162513
2020-11-21,12893.970067495882
2020-11-22,8141.8559388062895
2020-11-23,15638.277835048215
2020-11-24,15958.630146447698
2020-11-25,15282.414867826457
2020-11-26,14848.562852385665
2020-11-27,15074.679996407607
2020-11-28,12211.546785091767
2020-11-29,7721.38141372399
2020-11-30,15616.03900476409
2020-12-01,16460.14509974628
2020-12-02,16301.277751697568
2020-12-03,16198.451670815264
2020-12-04,16468.92649097129
2020-12-05,13408.514380410968
2020-12-06,8615.766523733133
2020-12-07,16212.333666541375
2020-12-08,16779.12554726147
2020-12-09,16330.294063132123
2020-12-10,15942.29236260515
2020-12-11,16044.11292511492
2020-12-12,13065.25030819268
2020-12-13,8631.483113329065
2020-12-14,16725.590085499025
2020-12-15,17701.969880043496
2020-12-16,17419.381010586716
2020-12-17,16972.718397322504
2020-12-18,16940.42052295813
2020-12-19,13885.23851239666
2020-12-20,9432.662641050767
2020-12-21,17447.14539582406
2020-12-22,18173.253341786967
2020-12-23,17483.546232262885
2020-12-24,16608.318238131473
2020-12-25,16272.319104363705
2020-12-26,13085.48878810165
2020-12-27,8613.583807933775
2020-12-28,16645.805752501565
2020-12-29,17426.537508476427
2020-12-30,16897.999165524812
2020-12-31,16333.892024892815
2021-01-01,16388.66660360421
2021-01-02,13504.115791763554
2021-01-03,9093.929982645122
2021-01-04,16921.343104220457
2021-01-05,17336.817862840293
2021-01-06,16421.531842134144
2021-01-07,15515.119079917606
2021-01-08,15252.871717518576
2021-01-09,12057.496743514512
2021-01-10,7409.09438680363
2021-01-11,15208.448446723029
2021-01-12,15900.270215490369
2021-01-13,15507.713334056345
2021-01-14,15168.476696889562
2021-01-15,15305.327935597852
2021-01-16,12265.825960724349
2021-01-17,7625.99765582323
2021-01-18,15445.345382482032
2021-01-19,16239.865545535331
2021-01-20,15959.622257808987
2021-01-21,15607.033118471607
2021-01-22,15545.701503339169
2021-01-23,12204.044902760172
2021-01-24,7313.487386789422
2021-01-25,15036.948822761458
2021-01-26,15875.52710065586
2021-01-27,15695.984302911464
2021-01-28,15455.155854292967
2021-01-29,15558.428781448036
2021-01-30,12504.636654701928
2021-01-31,8017.462555573582
2021-02-01,16131.173706138245
2021-02-02,17170.384651985092
2021-02-03,16905.02045973088
2021-02-04,16340.447851469202
2021-02-05,16021.791817916765
2021-02-06,12560.909993969035
2021-02-07,7700.74472519313
2021-02-08,15444.788779835395
2021-02-09,16137.361934293554
2021-02-10,15661.952264062395
2021-02-11,15158.961635259755
2021-02-12,15201.588800087302
2021-02-13,12263.14264193753
2021-02-14,7859.8504443509955
2021-02-15,15839.088728991137
2021-02-16,16562.397749122276
2021-02-17,16061.023759638883
2021-02-18,15606.513271316533
2021-02-19,15769.292492573335
2021-02-20,12901.547343956681
2021-02-21,8406.6301144748
2021-02-22,16142.500565233899
2021-02-23,16602.77928237214
2021-02-24,15961.679415332774
2021-02-25,15534.6414665217
2021-02-26,15829.185320103448
2021-02-27,13119.264575984276
2021-02-28,8805.321033996886
2021-03-01,16812.55929157986
2021-03-02,17675.951627968123
2021-03-03,17497.756426324853
2021-03-04,17424.04166673355
2021-03-05,17809.485773477958
2021-03-06,14901.759113760409
2021-03-07,10207.526744760282
2021-03-08,17791.542299323046
2021-03-09,18255.729849495186
2021-03-10,17684.606385841398
2021-03-11,17206.931183571764
2021-03-12,17245.88510937585
2021-03-13,14189.04570123514
2021-03-14,9639.893238923813
2021-03-15,17607.874739923835
2021-03-16,18495.786600032723
2021-03-17,18178.45783979374
2021-03-18,17712.30504566831
2021-03-19,17619.151900580728
2021-03-20,14447.866719675201
2021-03-21,9875.592903086876
2021-03-22,17840.826907270995
2021-03-23,18612.94516483135
2021-03-24,18009.16443319829
2021-03-25,17167.97819308939
2021-03-26,16767.47527287594
2021-03-27,13460.450202091808
2021-03-28,8909.296154550902
2021-03-29,16969.001760519553
2021-03-30,17862.814862410418
2021-03-31,17448.86891093608
2021-04-01,16934.912021506512
2021-04-02,16989.86739066536
